ccSeq,ifccAnother,ifccName,ifcgNameEng,ifccUseNy,ifccOrder,ifccExplanation,ifccDelNy,ifccReferencev1,ifccReferencev2,ifccReferencev3,ifccReferenceI1,ifccReferenceI2,ifccReferenceI3,CCG_seq
1,NULL,SKT,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1
2,NULL,KT,NULL,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1
3,NULL,LGT,NULL,1,3,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,1
4,NULL,알뜰폰,NULL,1,4,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1
5,NULL,남성,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2
6,NULL,여성,NULL,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,2
7,NULL,관리자,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,3
8,NULL,사용자,NULL,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,3
9,NULL,국내,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,4
10,NULL,해외,NULL,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,4
11,NULL,야구,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,5
12,NULL,축구,NULL,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,5
13,NULL,KBO,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,6
14,NULL,내셔널리그,NULL,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,6
15,NULL,아메리칸리그,NULL,1,3,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,6
16,NULL,센트럴리그,NULL,1,4,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,6
17,NULL,퍼시픽리그,NULL,1,5,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,6
18,NULL,K리그1,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,6
19,NULL,K리그2,NULL,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,6
20,NULL,프리미어리그,NULL,1,3,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,6
21,NULL,라리가,NULL,1,4,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,6
22,NULL,분데스리가,NULL,1,5,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,6
23,NULL,세리에 A,NULL,1,6,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,6
24,NULL,리그 1,NULL,1,7,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,6
25,NULL,두산 베어스,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,7
26,NULL,KIA 타이거즈,NULL,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,7
27,NULL,SSG 랜더스,NULL,1,3,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,7
28,NULL,삼성 라이온즈,NULL,1,4,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,7
29,NULL,애틀랜타,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,7
30,NULL,마이애미,NULL,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,7
31,NULL,워싱턴,NULL,1,3,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,7
32,NULL,LAD,NULL,1,4,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,7
33,NULL,뉴욕 Y,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,7
34,NULL,토론토,NULL,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,7
35,NULL,탬파베이,NULL,1,3,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,7
